no,raw,smooth
615,132.5,-36.067867
616,110.0,-54.79763
617,87.5,-73.10848
618,65.0,-90.95387
619,40.0,-108.28208
620,15.0,-124.75787
621,-10.0,-140.28653
622,-35.0,-154.76282
623,-60.0,-168.06981
624,-82.5,-180.07758
625,-107.5,-190.91953
626,-127.5,-200.18837
627,-150.0,-208.26486
628,-167.5,-214.73874
629,-185.0,-219.98749
630,-202.5,-223.875
631,-215.0,-226.25
632,-227.5,-227.5
